2025-11-25 14:46:15 | INFO     | app | Usuario: SISTEMA (ID:N/A, Rol:SISTEMA) | IP: N/A | PID: 19300 | Thread: 21500 | Acción: APLICACION_INICIADA | Sistema de Gestión de Horarios - ISTT iniciado en Windows
2025-11-25 14:46:15 | INFO     | app | Usuario: SISTEMA (ID:N/A, Rol:SISTEMA) | IP: N/A | PID: 19300 | Thread: 21500 | Acción: INICIO_BD | Iniciando base de datos del sistema
2025-11-25 14:46:15 | INFO     | app | Usuario: SISTEMA (ID:N/A, Rol:SISTEMA) | IP: N/A | PID: 19300 | Thread: 21500 | Acción: BD_INICIALIZADA | Base de datos inicializada correctamente
2025-11-25 14:46:15 | INFO     | app | Usuario: SISTEMA (ID:N/A, Rol:SISTEMA) | IP: N/A | PID: 24444 | Thread: 24088 | Acción: APLICACION_INICIADA | Sistema de Gestión de Horarios - ISTT iniciado en Windows
2025-11-25 14:46:15 | INFO     | app | Usuario: SISTEMA (ID:N/A, Rol:SISTEMA) | IP: N/A | PID: 24444 | Thread: 24088 | Acción: INICIO_BD | Iniciando base de datos del sistema
2025-11-25 14:46:16 | INFO     | app | Usuario: SISTEMA (ID:N/A, Rol:SISTEMA) | IP: N/A | PID: 24444 | Thread: 24088 | Acción: BD_INICIALIZADA | Base de datos inicializada correctamente
2025-11-25 14:46:46 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 127.0.0.1 | PID: 24444 | Thread: 18668 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 14:46:47 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 127.0.0.1 | PID: 24444 | Thread: 22688 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 15:03:40 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 192.168.1.9 | PID: 24444 | Thread: 17672 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 15:03:41 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 192.168.1.9 | PID: 24444 | Thread: 20316 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 15:06:27 | WARNING  | app | Usuario: Italo (ID:1, Rol:docente) | IP: 192.168.1.9 | PID: 24444 | Thread: 26724 | Acción: ERROR_404 | Página no encontrada: http://192.168.1.4:5050/favicon.ico
2025-11-25 15:06:30 | WARNING  | app | Usuario: Italo (ID:1, Rol:docente) | IP: 192.168.1.9 | PID: 24444 | Thread: 13280 | Acción: ERROR_404 | Página no encontrada: http://192.168.1.4:5050/favicon.ico
2025-11-25 15:08:46 | WARNING  | app | Usuario: Italo (ID:1, Rol:docente) | IP: 192.168.1.9 | PID: 24444 | Thread: 22300 | Acción: ERROR_404 | Página no encontrada: http://192.168.1.4:5050/favicon.ico
2025-11-25 15:08:48 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 192.168.1.9 | PID: 24444 | Thread: 22912 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 15:08:50 | WARNING  | app | Usuario: Italo (ID:1, Rol:docente) | IP: 192.168.1.9 | PID: 24444 | Thread: 19024 | Acción: ERROR_404 | Página no encontrada: http://192.168.1.4:5050/favicon.ico
2025-11-25 15:09:08 | WARNING  | app | Usuario: Italo (ID:1, Rol:docente) | IP: 192.168.1.9 | PID: 24444 | Thread: 10208 | Acción: ERROR_404 | Página no encontrada: http://192.168.1.4:5050/favicon.ico
2025-11-25 15:27:58 | INFO     | app | Usuario: Patricio (ID:2, Rol:coordinador) | IP: 192.168.1.9 | PID: 24444 | Thread: 12900 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (coordinador)
2025-11-25 15:35:40 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 127.0.0.1 | PID: 24444 | Thread: 5480 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 15:35:53 | INFO     | app | Usuario: Patricio (ID:2, Rol:coordinador) | IP: 127.0.0.1 | PID: 24444 | Thread: 7080 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (coordinador)
2025-11-25 15:45:34 | WARNING  | app | Usuario: Patricio (ID:2, Rol:coordinador) | IP: 192.168.1.9 | PID: 24444 | Thread: 21460 | Acción: ERROR_404 | Página no encontrada: http://192.168.1.4:5050/favicon.ico
2025-11-25 15:54:40 | INFO     | app | Usuario: rectorado (ID:3, Rol:rectorado) | IP: 192.168.1.9 | PID: 24444 | Thread: 21428 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (rectorado)
2025-11-25 15:54:59 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 192.168.1.9 | PID: 24444 | Thread: 27460 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 15:55:00 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 192.168.1.9 | PID: 24444 | Thread: 1060 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 15:55:55 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 127.0.0.1 | PID: 24444 | Thread: 14288 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 15:55:56 | INFO     | app | Usuario: Italo (ID:1, Rol:docente) | IP: 127.0.0.1 | PID: 24444 | Thread: 7616 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (docente)
2025-11-25 16:00:42 | INFO     | app | Usuario: SISTEMA (ID:N/A, Rol:SISTEMA) | IP: N/A | PID: 14144 | Thread: 22272 | Acción: APLICACION_INICIADA | Sistema de Gestión de Horarios - ISTT iniciado en Windows
